,entry_date,exit_date,quarter_date
0,2018-06-01,2018-06-04,2018-04-01
1,2018-06-04,2018-06-05,2018-04-01
2,2018-06-05,2018-06-06,2018-04-01
3,2018-06-06,2018-06-07,2018-04-01
4,2018-06-07,2018-06-08,2018-04-01
5,2018-06-08,2018-06-11,2018-04-01
6,2018-06-11,2018-06-12,2018-04-01
7,2018-06-12,2018-06-13,2018-04-01
8,2018-06-13,2018-06-14,2018-04-01
9,2018-06-14,2018-06-15,2018-04-01
10,2018-06-15,2018-06-18,2018-04-01
11,2018-06-18,2018-06-19,2018-04-01
12,2018-06-19,2018-06-20,2018-04-01
13,2018-06-20,2018-06-21,2018-04-01
14,2018-06-21,2018-06-22,2018-04-01
15,2018-06-22,2018-06-25,2018-04-01
16,2018-06-25,2018-06-26,2018-04-01
17,2018-06-26,2018-06-27,2018-04-01
18,2018-06-27,2018-06-28,2018-04-01
19,2018-06-28,2018-06-29,2018-04-01
20,2018-06-29,2018-07-02,2018-04-01
21,2018-07-02,2018-07-03,2018-07-01
22,2018-07-03,2018-07-05,2018-07-01
23,2018-07-05,2018-07-06,2018-07-01
24,2018-07-06,2018-07-09,2018-07-01
25,2018-07-09,2018-07-10,2018-07-01
26,2018-07-10,2018-07-11,2018-07-01
27,2018-07-11,2018-07-12,2018-07-01
28,2018-07-12,2018-07-13,2018-07-01
29,2018-07-13,2018-07-16,2018-07-01
30,2018-07-16,2018-07-17,2018-07-01
31,2018-07-17,2018-07-18,2018-07-01
32,2018-07-18,2018-07-19,2018-07-01
33,2018-07-19,2018-07-20,2018-07-01
34,2018-07-20,2018-07-23,2018-07-01
35,2018-07-23,2018-07-24,2018-07-01
36,2018-07-24,2018-07-25,2018-07-01
37,2018-07-25,2018-07-26,2018-07-01
38,2018-07-26,2018-07-27,2018-07-01
39,2018-07-27,2018-07-30,2018-07-01
40,2018-07-30,2018-07-31,2018-07-01
41,2018-07-31,2018-08-01,2018-07-01
42,2018-08-01,2018-08-02,2018-07-01
43,2018-08-02,2018-08-03,2018-07-01
44,2018-08-03,2018-08-06,2018-07-01
45,2018-08-06,2018-08-07,2018-07-01
46,2018-08-07,2018-08-08,2018-07-01
47,2018-08-08,2018-08-09,2018-07-01
48,2018-08-09,2018-08-10,2018-07-01
49,2018-08-10,2018-08-13,2018-07-01
50,2018-08-13,2018-08-14,2018-07-01
51,2018-08-14,2018-08-15,2018-07-01
52,2018-08-15,2018-08-16,2018-07-01
53,2018-08-16,2018-08-17,2018-07-01
54,2018-08-17,2018-08-20,2018-07-01
55,2018-08-20,2018-08-21,2018-07-01
56,2018-08-21,2018-08-22,2018-07-01
57,2018-08-22,2018-08-23,2018-07-01
58,2018-08-23,2018-08-24,2018-07-01
59,2018-08-24,2018-08-27,2018-07-01
60,2018-08-27,2018-08-28,2018-07-01
61,2018-08-28,2018-08-29,2018-07-01
62,2018-08-29,2018-08-30,2018-07-01
63,2018-08-30,2018-08-31,2018-07-01
64,2018-08-31,2018-09-04,2018-07-01
65,2018-09-04,2018-09-05,2018-07-01
66,2018-09-05,2018-09-06,2018-07-01
67,2018-09-06,2018-09-07,2018-07-01
68,2018-09-07,2018-09-10,2018-07-01
69,2018-09-10,2018-09-11,2018-07-01
70,2018-09-11,2018-09-12,2018-07-01
71,2018-09-12,2018-09-13,2018-07-01
72,2018-09-13,2018-09-14,2018-07-01
73,2018-09-14,2018-09-17,2018-07-01
74,2018-09-17,2018-09-18,2018-07-01
75,2018-09-18,2018-09-19,2018-07-01
76,2018-09-19,2018-09-20,2018-07-01
77,2018-09-20,2018-09-21,2018-07-01
78,2018-09-21,2018-09-24,2018-07-01
79,2018-09-24,2018-09-25,2018-07-01
80,2018-09-25,2018-09-26,2018-07-01
81,2018-09-26,2018-09-27,2018-07-01
82,2018-09-27,2018-09-28,2018-07-01
83,2018-09-28,2018-10-01,2018-07-01
84,2018-10-01,2018-10-02,2018-10-01
85,2018-10-02,2018-10-03,2018-10-01
86,2018-10-03,2018-10-04,2018-10-01
87,2018-10-04,2018-10-05,2018-10-01
88,2018-10-05,2018-10-08,2018-10-01
89,2018-10-08,2018-10-09,2018-10-01
90,2018-10-09,2018-10-10,2018-10-01
91,2018-10-10,2018-10-11,2018-10-01
92,2018-10-11,2018-10-12,2018-10-01
93,2018-10-12,2018-10-15,2018-10-01
94,2018-10-15,2018-10-16,2018-10-01
95,2018-10-16,2018-10-17,2018-10-01
96,2018-10-17,2018-10-18,2018-10-01
97,2018-10-18,2018-10-19,2018-10-01
98,2018-10-19,2018-10-22,2018-10-01
99,2018-10-22,2018-10-23,2018-10-01
100,2018-10-23,2018-10-24,2018-10-01
101,2018-10-24,2018-10-25,2018-10-01
102,2018-10-25,2018-10-26,2018-10-01
103,2018-10-26,2018-10-29,2018-10-01
104,2018-10-29,2018-10-30,2018-10-01
105,2018-10-30,2018-10-31,2018-10-01
106,2018-10-31,2018-11-01,2018-10-01
107,2018-11-01,2018-11-02,2018-10-01
108,2018-11-02,2018-11-05,2018-10-01
109,2018-11-05,2018-11-06,2018-10-01
110,2018-11-06,2018-11-07,2018-10-01
111,2018-11-07,2018-11-08,2018-10-01
112,2018-11-08,2018-11-09,2018-10-01
113,2018-11-09,2018-11-12,2018-10-01
114,2018-11-12,2018-11-13,2018-10-01
115,2018-11-13,2018-11-14,2018-10-01
116,2018-11-14,2018-11-15,2018-10-01
117,2018-11-15,2018-11-16,2018-10-01
118,2018-11-16,2018-11-19,2018-10-01
119,2018-11-19,2018-11-20,2018-10-01
120,2018-11-20,2018-11-21,2018-10-01
121,2018-11-21,2018-11-23,2018-10-01
122,2018-11-23,2018-11-26,2018-10-01
123,2018-11-26,2018-11-27,2018-10-01
124,2018-11-27,2018-11-28,2018-10-01
125,2018-11-28,2018-11-29,2018-10-01
126,2018-11-29,2018-11-30,2018-10-01
127,2018-11-30,2018-12-03,2018-10-01
128,2018-12-03,2018-12-04,2018-10-01
129,2018-12-04,2018-12-06,2018-10-01
130,2018-12-06,2018-12-07,2018-10-01
131,2018-12-07,2018-12-10,2018-10-01
132,2018-12-10,2018-12-11,2018-10-01
133,2018-12-11,2018-12-12,2018-10-01
134,2018-12-12,2018-12-13,2018-10-01
135,2018-12-13,2018-12-14,2018-10-01
136,2018-12-14,2018-12-17,2018-10-01
137,2018-12-17,2018-12-18,2018-10-01
138,2018-12-18,2018-12-19,2018-10-01
139,2018-12-19,2018-12-20,2018-10-01
140,2018-12-20,2018-12-21,2018-10-01
141,2018-12-21,2018-12-24,2018-10-01
142,2018-12-24,2018-12-26,2018-10-01
143,2018-12-26,2018-12-27,2018-10-01
144,2018-12-27,2018-12-28,2018-10-01
145,2018-12-28,2018-12-31,2018-10-01
146,2018-12-31,2019-01-02,2018-10-01
